Country Name,Country Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CPIA public sector management and institutions cluster average (1=low to 6=high),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Land area where elevation is below 5 meters (% of total land area),Marine protected areas (% of territorial waters),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population living in areas where elevation is below 5 meters (% of total population),"Population, total","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population living in areas where elevation is below 5 meters (% of total population),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions (kt of CO2 equivalent),Urban land area where elevation is below 5 meters (% of total land area),Urban land area where elevation is below 5 meters (sq. km),Urban population,Urban population (% of total),Urban population growth (annual %),Urban population living in areas where elevation is below 5 meters (% of total population)
Pacific island small states,PSS,1992,46.64508875,12.89563863,8279,21.9265803,3.904910366,0.379581988,0.229519945,0.336012229,1675.819,0.957117531,0,0,94.3107221,1580.477,3.06345733,0,0,0,5.998275081,62.09158879,39862.8,0,0,-28.07081871,2236.07908,34.43037853,-40.39191608,2492.843903,-0.042730769,103.95556,1.721992352,0,1750902,0,93.87151337,43.90661812,47.727036,0,0,0,0.98001,0,0,6231.824046,0,0,564304,32.2293015,2.89894713,0
Faroe Islands,FRO,1992,100,2.148997135,30,0,2.148997135,0,0,0,649.059,13.78015329,0,0,100,649.059,0,0,0,0,0,0.05730659,0.8,0,0,2.329070213,33.9007,0,-0.891806068,6.211501,0,10.5,-0.752980567,0,47101,0,0,42.21105528,3.105643723,0,0,0,0,0,0,0,0,0,15012,31.872,1.523672797,0
"Gambia, The",GMB,1992,18.77974892,55.13833992,5580,17.32568859,16.00790514,0.356798837,0.12205838,0.178690824,179.683,0.183402775,0,0,100,179.683,0,0,0,0,0.886113481,44.0513834,4458,0,0,1.053844726,620.796,158.1,-3.076058975,320.9709,-3.77E-13,80,3.133661723,0,979718,0,41.75753021,0,62.93559354,0,0,0,0.652660012,0,0,1179.6009,0,0,396982,40.52,5.91138877,0
Japan,JPN,1992,100,15.40043884,56150,0,12.92923752,0.229094639,0.285217887,0.422984663,1123847.492,9.046579237,9.695049531,108957.571,60.39559378,678754.366,25.99289993,292120.554,0,0,0.070609166,68.390565,249352,0,0,-2.954547152,64959.8,6.1,0.778758686,37228.52,26.91545197,48224.94,0.248237081,0,124229000,0,99.81128693,10.16288776,4.197714901,0,0,0,1.011590004,0,0,1330643.26,0,0,96414127,77.61,0.424917159,0
Somalia,SOM,1992,0.01,70.20594893,440430,0,1.630694679,0,0,0,682.062,0.091080723,0,0,98.38709677,671.061,0,0,0,0,0,12.95724806,81286,0,0,-11.95798628,11500.4,174.3,-16.61212839,3341.583,0.0004183,200.000896,0.436389245,0,7488544,0,0,0,88.81101212,0,0,0,0,0,0,15394.0409,0,0,2273447,30.359,1.602605934,0
Tajikistan,TJK,1992,97.0390625,32.07344956,44890,29.52086553,6.144612746,1.643042693,0.575945583,0.843171858,7315.665,1.329401582,44.06015038,3223.293,40.45112782,2959.269,12.78195489,935.085,0,0,0.471390118,2.917976565,4084,0,0,-5.987723097,4041.71,111.8,15.19060907,1732.7264,36.30202291,3830.0931,1.875786976,0,5502976,0,0,94.68553085,37.37866219,0,0,0,0,0,0,20247.8295,0,0,1679893,30.527,0.048288541,0
Nigeria,NGA,1992,34.61891174,70.76100442,644470,26.145724,33.04895857,0.35666128,0.161172732,0.235953389,46614.904,0.465118509,20.59471366,9600.206,75.36972939,35133.527,0.298930145,139.346,0,0,3.060114778,18.02277194,164146,0,0,10.59555332,72132.3,210.8,0.915288855,19666.648,-6.713955091,8745.942,2.521241552,0,100221563,0,0,40.84535526,84.52166667,0,0,0,0,0,0,188562.29,0,0,30744969,30.677,4.167870882,0
Honduras,HND,1992,58.913112,29.98480651,33550,17.47872394,13.54008401,0.368782011,0.179493962,0.262775272,3076.613,0.586263176,0,0,89.511323,2753.917,0,0,0,0,1.392021489,69.59692555,77872,0,0,1.480593648,4030.18,53.1,3.368961422,2509.3632,3.699830305,5175.98,2.858486931,0,5247836,15.8,65.54929352,93.55527102,67.74912406,0,0,0,0,0,0,14386.6432,0,0,2175123,41.448,4.059936906,0
Malawi,MWI,1992,3.2,45.29062367,42700,34.93256277,24.3954179,0.253130535,0.11244697,0.164619929,795.739,0.081784393,0,0,71.88940092,572.052,21.19815668,168.682,0,0,-0.394550298,40.6257955,38302,0,0,14.80232271,4646.05,219.5,32.85981641,3708.251,0,1200,0.914410319,0,9729717,24.4,36.53160858,97.98234552,82.75231597,0,0,0,0,0,0,10138.423,0,0,1188777,12.218,3.677745517,0
Channel Islands,CHI,1992,100,44.73684211,85,0,19.47368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.210526316,8,0,0,0,0,0,0,0,0,0,0.486214342,0,142258,0,0,0,0,0,0,0,0,0,0,0,0,0,44208,31.076,-0.110778285,0
