Country,Code,Year,CO2PerGDP,CO2Total,CO2PerCapita,Population,id
Nicaragua,NIC,1992,0.281065539,2394.551,0.552851041,4331277,558
Niger,NER,1992,0.149284354,700.397,0.081923297,8549424,562
Nigeria,NGA,1992,0.235953389,46614.904,0.465118509,100221563,566
Northern Mariana Islands,MNP,1992,0,0,0,47919,580
Norway,NOR,1992,0.362653752,32009.243,7.467626804,4286401,578
Oman,OMN,1992,0.242151913,12079.098,6.090474503,1983277,512
Pakistan,PAK,1992,0.286278458,72789.95,0.639927766,113747135,586
Palau,PLW,1992,0,234.688,14.76582358,15894,585
Panama,PAN,1992,0.270523708,4246.386,1.648430252,2576018,591
Papua New Guinea,PNG,1992,0.235464639,2053.52,0.452763961,4535520,598
Paraguay,PRY,1992,0.138364307,2530.23,0.57080548,4432736,600
Peru,PER,1992,0.253641617,20425.19,0.898321665,22737056,604
Philippines,PHL,1992,0.288005042,48752.765,0.749172507,65075486,608
Poland,POL,1992,1.49538955,354745.58,9.246915317,38363667,616
Portugal,PRT,1992,0.368528103,48279.722,4.851017443,9952494,620
Puerto Rico,PRI,1992,0,0,0,3585176,630
Qatar,QAT,1992,0,26802.103,54.08916949,495517,634
Romania,ROU,1992,1.254961649,128645.694,5.643769903,22794284,642
Russian Federation,RUS,1992,2.039655557,2078668.286,13.97997354,148689000,643
Rwanda,RWA,1992,0.109573739,487.711,0.072772582,6701851,646
Samoa,WSM,1992,0.277920282,110.01,0.664431962,165570,882
San Marino,SMR,1992,0,0,0,24749,674
Sao Tome and Principe,STP,1992,0,47.671,0.401217008,118816,678
Saudi Arabia,SAU,1992,0.504234517,285534.622,16.43002278,17378833,682
Senegal,SEN,1992,0.352008139,3479.983,0.433387569,8029725,686
Serbia,SRB,1992,0,0,0,7646424,688
Seychelles,SYC,1992,0.231876495,172.349,2.435580741,70763,690
Sierra Leone,SLE,1992,0.146514326,447.374,0.103287857,4331332,694
Singapore,SGP,1992,0.592946086,48426.402,14.98945491,3230698,702
Sint Maarten (Dutch part),SXM,1992,0,0,0,0,534
Slovak Republic,SVK,1992,1.16722481,44183.683,8.328661591,5305016,703
Slovenia,SVN,1992,0,12478.801,6.250344854,1996498,705
Solomon Islands,SLB,1992,0.298453367,143.013,0.433434459,329953,90
Somalia,SOM,1992,0,682.062,0.091080723,7488544,706
